12:11:10.741 WARN  Malformed command packet. Kicking. 1 warning. 
15:19:00.266 ERROR Egg 
15:19:00.268 ERROR Cannot read property 'NaN' of undefined
TypeError: Cannot read property 'NaN' of undefined
    at Object.room.isIn (/app/arrasio/src/server/server.js:300:42)
    at entities.map.instance (/app/arrasio/src/server/server.js:5050:34)
    at Array.map (<anonymous>)
    at makefood (/app/arrasio/src/server/server.js:5045:29)
    at Timeout.maintainloop [as _onTimeout] (/app/arrasio/src/server/server.js:5110:9)
    at ontimeout (timers.js:498:11)
    at tryOnTimeout (timers.js:323:5)
    at Timer.listOnTimeout (timers.js:290:5) 
15:20:46.815 WARN  ~~ LOOPS: 10. ENTITY #: 635//551. VIEW #: 1. BACKLOGGED :: 229.200%! ~~ 
15:20:46.815 WARN  Total activation time: 34 
15:20:46.815 WARN  Total collision time: 604 
15:20:46.816 WARN  Total cycle time: 126 
15:20:46.816 WARN  Total player update time: 485 
15:20:46.816 WARN  Total lb+minimap processing time: 7 
15:20:46.816 WARN  Total entity physics calculation time: 16 
15:20:46.816 WARN  Total entity life+thought cycle time: 40 
15:20:46.816 WARN  Total entity selfie-taking time: 22 
15:20:46.816 WARN  Total time: 1334 
15:20:47.855 WARN  ~~ LOOPS: 11. ENTITY #: 640//540. VIEW #: 1. BACKLOGGED :: 178.091%! ~~ 
15:20:47.855 WARN  Total activation time: 35 
15:20:47.855 WARN  Total collision time: 36 
15:20:47.855 WARN  Total cycle time: 582 
15:20:47.855 WARN  Total player update time: 39 
15:20:47.855 WARN  Total lb+minimap processing time: 13 
15:20:47.855 WARN  Total entity physics calculation time: 9 
15:20:47.855 WARN  Total entity life+thought cycle time: 500 
15:20:47.855 WARN  Total entity selfie-taking time: 14 
15:20:47.855 WARN  Total time: 1228 
15:20:48.861 WARN  ~~ LOOPS: 12. ENTITY #: 631//536. VIEW #: 1. BACKLOGGED :: 147.500%! ~~ 
15:20:48.861 WARN  Total activation time: 40 
15:20:48.861 WARN  Total collision time: 399 
15:20:48.861 WARN  Total cycle time: 151 
15:20:48.861 WARN  Total player update time: 49 
15:20:48.861 WARN  Total lb+minimap processing time: 11 
15:20:48.861 WARN  Total entity physics calculation time: 16 
15:20:48.861 WARN  Total entity life+thought cycle time: 53 
15:20:48.861 WARN  Total entity selfie-taking time: 25 
15:20:48.862 WARN  Total time: 744 
15:20:49.889 WARN  ~~ LOOPS: 14. ENTITY #: 617//520. VIEW #: 1. BACKLOGGED :: 112.714%! ~~ 
15:20:49.889 WARN  Total activation time: 44 
15:20:49.889 WARN  Total collision time: 300 
15:20:49.889 WARN  Total cycle time: 182 
15:20:49.889 WARN  Total player update time: 39 
15:20:49.889 WARN  Total lb+minimap processing time: 16 
15:20:49.889 WARN  Total entity physics calculation time: 21 
15:20:49.889 WARN  Total entity life+thought cycle time: 58 
15:20:49.889 WARN  Total entity selfie-taking time: 30 
15:20:49.889 WARN  Total time: 690 
15:20:50.950 WARN  ~~ LOOPS: 14. ENTITY #: 613//508. VIEW #: 1. BACKLOGGED :: 118.714%! ~~ 
15:20:50.950 WARN  Total activation time: 51 
15:20:50.950 WARN  Total collision time: 47 
15:20:50.951 WARN  Total cycle time: 456 
15:20:50.951 WARN  Total player update time: 54 
15:20:50.951 WARN  Total lb+minimap processing time: 24 
15:20:50.951 WARN  Total entity physics calculation time: 14 
15:20:50.951 WARN  Total entity life+thought cycle time: 83 
15:20:50.951 WARN  Total entity selfie-taking time: 29 
15:20:50.951 WARN  Total time: 758 
15:20:51.964 WARN  ~~ LOOPS: 10. ENTITY #: 611//504. VIEW #: 1. BACKLOGGED :: 201.600%! ~~ 
15:20:51.964 WARN  Total activation time: 35 
15:20:51.964 WARN  Total collision time: 23 
15:20:51.964 WARN  Total cycle time: 614 
15:20:51.964 WARN  Total player update time: 57 
15:20:51.964 WARN  Total lb+minimap processing time: 13 
15:20:51.964 WARN  Total entity physics calculation time: 20 
15:20:51.964 WARN  Total entity life+thought cycle time: 488 
15:20:51.964 WARN  Total entity selfie-taking time: 15 
15:20:51.964 WARN  Total time: 1265 
15:20:52.975 WARN  ~~ LOOPS: 14. ENTITY #: 573//485. VIEW #: 1. BACKLOGGED :: 114.429%! ~~ 
15:20:52.975 WARN  Total activation time: 53 
15:20:52.975 WARN  Total collision time: 44 
15:20:52.975 WARN  Total cycle time: 437 
15:20:52.975 WARN  Total player update time: 39 
15:20:52.975 WARN  Total lb+minimap processing time: 11 
15:20:52.976 WARN  Total entity physics calculation time: 20 
15:20:52.976 WARN  Total entity life+thought cycle time: 63 
15:20:52.976 WARN  Total entity selfie-taking time: 28 
15:20:52.976 WARN  Total time: 695 
15:20:59.179 WARN  ~~ LOOPS: 15. ENTITY #: 476//349. VIEW #: 1. BACKLOGGED :: 123.600%! ~~ 
15:20:59.185 WARN  Total activation time: 56 
15:20:59.186 WARN  Total collision time: 64 
15:20:59.186 WARN  Total cycle time: 496 
15:20:59.186 WARN  Total player update time: 38 
15:20:59.187 WARN  Total lb+minimap processing time: 27 
15:20:59.187 WARN  Total entity physics calculation time: 11 
15:20:59.199 WARN  Total entity life+thought cycle time: 342 
15:20:59.200 WARN  Total entity selfie-taking time: 26 
15:20:59.230 WARN  Total time: 1060 
15:21:03.233 WARN  ~~ LOOPS: 12. ENTITY #: 497//365. VIEW #: 1. BACKLOGGED :: 140.500%! ~~ 
15:21:03.233 WARN  Total activation time: 34 
15:21:03.233 WARN  Total collision time: 15 
15:21:03.233 WARN  Total cycle time: 513 
15:21:03.233 WARN  Total player update time: 83 
15:21:03.233 WARN  Total lb+minimap processing time: 3 
15:21:03.233 WARN  Total entity physics calculation time: 13 
15:21:03.233 WARN  Total entity life+thought cycle time: 55 
15:21:03.233 WARN  Total entity selfie-taking time: 371 
15:21:03.233 WARN  Total time: 1087 
15:21:04.245 WARN  ~~ LOOPS: 13. ENTITY #: 503//371. VIEW #: 1. BACKLOGGED :: 125.077%! ~~ 
15:21:04.245 WARN  Total activation time: 55 
15:21:04.246 WARN  Total collision time: 39 
15:21:04.246 WARN  Total cycle time: 447 
15:21:04.246 WARN  Total player update time: 76 
15:21:04.247 WARN  Total lb+minimap processing time: 7 
15:21:04.248 WARN  Total entity physics calculation time: 23 
15:21:04.248 WARN  Total entity life+thought cycle time: 97 
15:21:04.248 WARN  Total entity selfie-taking time: 51 
15:21:04.249 WARN  Total time: 795 
15:21:06.286 WARN  ~~ LOOPS: 13. ENTITY #: 513//376. VIEW #: 1. BACKLOGGED :: 132.692%! ~~ 
15:21:06.288 WARN  Total activation time: 51 
15:21:06.288 WARN  Total collision time: 28 
15:21:06.289 WARN  Total cycle time: 496 
