20:06:05.418 WARN  ~~ LOOPS: 13. ENTITY #: 477//78. VIEW #: 1. BACKLOGGED :: 139.154%! ~~ 
20:06:05.419 WARN  Total activation time: 84 
20:06:05.419 WARN  Total collision time: 6 
20:06:05.419 WARN  Total cycle time: 513 
20:06:05.419 WARN  Total player update time: 28 
20:06:05.419 WARN  Total lb+minimap processing time: 168 
20:06:05.419 WARN  Total entity physics calculation time: 70 
20:06:05.419 WARN  Total entity life+thought cycle time: 158 
20:06:05.419 WARN  Total entity selfie-taking time: 48 
20:06:05.419 WARN  Total time: 1075 
20:06:35.452 WARN  ~~ LOOPS: 11. ENTITY #: 489//76. VIEW #: 1. BACKLOGGED :: 143.182%! ~~ 
20:06:35.453 WARN  Total activation time: 50 
20:06:35.453 WARN  Total collision time: 16 
20:06:35.453 WARN  Total cycle time: 459 
20:06:35.453 WARN  Total player update time: 10 
20:06:35.453 WARN  Total lb+minimap processing time: 193 
20:06:35.453 WARN  Total entity physics calculation time: 22 
20:06:35.453 WARN  Total entity life+thought cycle time: 148 
20:06:35.453 WARN  Total entity selfie-taking time: 57 
20:06:35.453 WARN  Total time: 955 
20:25:05.918 WARN  ~~ LOOPS: 12. ENTITY #: 511//28. VIEW #: 0. BACKLOGGED :: 105.250%! ~~ 
20:25:05.918 WARN  Total activation time: 64 
20:25:05.919 WARN  Total collision time: 0 
20:25:05.920 WARN  Total cycle time: 357 
20:25:05.920 WARN  Total player update time: 0 
20:25:05.920 WARN  Total lb+minimap processing time: 82 
20:25:05.920 WARN  Total entity physics calculation time: 38 
20:25:05.920 WARN  Total entity life+thought cycle time: 81 
20:25:05.920 WARN  Total entity selfie-taking time: 2 
20:25:05.920 WARN  Total time: 624 
20:25:36.073 WARN  ~~ LOOPS: 9. ENTITY #: 512//29. VIEW #: 0. BACKLOGGED :: 187.000%! ~~ 
20:25:36.073 WARN  Total activation time: 79 
20:25:36.073 WARN  Total collision time: 0 
20:25:36.074 WARN  Total cycle time: 482 
20:25:36.074 WARN  Total player update time: 0 
20:25:36.074 WARN  Total lb+minimap processing time: 45 
20:25:36.074 WARN  Total entity physics calculation time: 25 
20:25:36.074 WARN  Total entity life+thought cycle time: 177 
20:25:36.074 WARN  Total entity selfie-taking time: 114 
20:25:36.075 WARN  Total time: 922 
21:14:17.468 WARN  ~~ LOOPS: 14. ENTITY #: 494//154. VIEW #: 1. BACKLOGGED :: 125.143%! ~~ 
21:14:17.477 WARN  Total activation time: 47 
21:14:17.477 WARN  Total collision time: 19 
21:14:17.477 WARN  Total cycle time: 518 
21:14:17.478 WARN  Total player update time: 59 
21:14:17.478 WARN  Total lb+minimap processing time: 89 
21:14:17.478 WARN  Total entity physics calculation time: 36 
21:14:17.478 WARN  Total entity life+thought cycle time: 222 
21:14:17.478 WARN  Total entity selfie-taking time: 48 
21:14:17.478 WARN  Total time: 1038 
21:14:18.554 WARN  ~~ LOOPS: 13. ENTITY #: 496//154. VIEW #: 1. BACKLOGGED :: 114.462%! ~~ 
21:14:18.554 WARN  Total activation time: 48 
21:14:18.554 WARN  Total collision time: 9 
21:14:18.554 WARN  Total cycle time: 439 
21:14:18.554 WARN  Total player update time: 78 
21:14:18.554 WARN  Total lb+minimap processing time: 54 
21:14:18.555 WARN  Total entity physics calculation time: 57 
21:14:18.555 WARN  Total entity life+thought cycle time: 134 
21:14:18.555 WARN  Total entity selfie-taking time: 87 
21:14:18.555 WARN  Total time: 906 
21:14:46.748 WARN  ~~ LOOPS: 10. ENTITY #: 518//176. VIEW #: 1. BACKLOGGED :: 180.300%! ~~ 
21:14:46.748 WARN  Total activation time: 70 
21:14:46.748 WARN  Total collision time: 17 
21:14:46.748 WARN  Total cycle time: 514 
21:14:46.748 WARN  Total player update time: 123 
21:14:46.748 WARN  Total lb+minimap processing time: 70 
21:14:46.748 WARN  Total entity physics calculation time: 79 
21:14:46.749 WARN  Total entity life+thought cycle time: 124 
21:14:46.749 WARN  Total entity selfie-taking time: 64 
21:14:46.749 WARN  Total time: 1061 
21:14:47.809 WARN  ~~ LOOPS: 12. ENTITY #: 509//171. VIEW #: 1. BACKLOGGED :: 150.000%! ~~ 
21:14:47.809 WARN  Total activation time: 46 
21:14:47.809 WARN  Total collision time: 66 
21:14:47.809 WARN  Total cycle time: 488 
21:14:47.809 WARN  Total player update time: 86 
21:14:47.809 WARN  Total lb+minimap processing time: 54 
21:14:47.809 WARN  Total entity physics calculation time: 81 
21:14:47.809 WARN  Total entity life+thought cycle time: 114 
21:14:47.809 WARN  Total entity selfie-taking time: 38 
21:14:47.809 WARN  Total time: 973 
21:26:17.136 WARN  ~~ LOOPS: 15. ENTITY #: 312//119. VIEW #: 1. BACKLOGGED :: 105.400%! ~~ 
21:26:17.153 WARN  Total activation time: 34 
21:26:17.154 WARN  Total collision time: 32 
21:26:17.154 WARN  Total cycle time: 461 
21:26:17.154 WARN  Total player update time: 41 
21:26:17.155 WARN  Total lb+minimap processing time: 17 
21:26:17.155 WARN  Total entity physics calculation time: 44 
21:26:17.155 WARN  Total entity life+thought cycle time: 154 
21:26:17.164 WARN  Total entity selfie-taking time: 21 
21:26:17.164 WARN  Total time: 804 
21:26:18.167 WARN  ~~ LOOPS: 10. ENTITY #: 313//118. VIEW #: 1. BACKLOGGED :: 133.800%! ~~ 
21:26:18.168 WARN  Total activation time: 56 
21:26:18.168 WARN  Total collision time: 30 
21:26:18.169 WARN  Total cycle time: 360 
21:26:18.169 WARN  Total player update time: 51 
21:26:18.171 WARN  Total lb+minimap processing time: 42 
21:26:18.171 WARN  Total entity physics calculation time: 27 
21:26:18.172 WARN  Total entity life+thought cycle time: 167 
21:26:18.181 WARN  Total entity selfie-taking time: 52 
21:26:18.181 WARN  Total time: 785 
21:30:47.108 WARN  ~~ LOOPS: 8. ENTITY #: 389//90. VIEW #: 2. BACKLOGGED :: 146.625%! ~~ 
21:30:47.108 WARN  Total activation time: 57 
21:30:47.108 WARN  Total collision time: 26 
21:30:47.108 WARN  Total cycle time: 308 
21:30:47.108 WARN  Total player update time: 58 
21:30:47.108 WARN  Total lb+minimap processing time: 52 
21:30:47.108 WARN  Total entity physics calculation time: 37 
21:30:47.108 WARN  Total entity life+thought cycle time: 142 
21:30:47.108 WARN  Total entity selfie-taking time: 10 
21:30:47.109 WARN  Total time: 690 
21:30:48.200 WARN  ~~ LOOPS: 10. ENTITY #: 387//81. VIEW #: 2. BACKLOGGED :: 191.100%! ~~ 
21:30:48.200 WARN  Total activation time: 75 
21:30:48.200 WARN  Total collision time: 55 
21:30:48.200 WARN  Total cycle time: 507 
21:30:48.200 WARN  Total player update time: 46 
21:30:48.201 WARN  Total lb+minimap processing time: 76 
21:30:48.201 WARN  Total entity physics calculation time: 63 
21:30:48.201 WARN  Total entity life+thought cycle time: 237 
21:30:48.201 WARN  Total entity selfie-taking time: 24 
21:30:48.201 WARN  Total time: 1083 
21:34:47.756 WARN  ~~ LOOPS: 11. ENTITY #: 410//100. VIEW #: 3. BACKLOGGED :: 143.455%! ~~ 
21:34:47.756 WARN  Total activation time: 77 
21:34:47.756 WARN  Total collision time: 26 
21:34:47.756 WARN  Total cycle time: 423 
21:34:47.756 WARN  Total player update time: 38 
21:34:47.756 WARN  Total lb+minimap processing time: 123 
21:34:47.756 WARN  Total entity physics calculation time: 129 
21:34:47.756 WARN  Total entity life+thought cycle time: 145 
21:34:47.756 WARN  Total entity selfie-taking time: 9 
21:34:47.756 WARN  Total time: 970 
21:34:50.108 WARN  ~~ LOOPS: 14. ENTITY #: 409//90. VIEW #: 2. BACKLOGGED :: 156.857%! ~~ 
21:34:50.118 WARN  Total activation time: 80 
21:34:50.119 WARN  Total collision time: 12 
21:34:50.120 WARN  Total cycle time: 640 
21:34:50.120 WARN  Total player update time: 35 
21:34:50.121 WARN  Total lb+minimap processing time: 79 
21:34:50.121 WARN  Total entity physics calculation time: 78 
21:34:50.122 WARN  Total entity life+thought cycle time: 76 
21:34:50.134 WARN  Total entity selfie-taking time: 39 
21:34:50.142 WARN  Total time: 1039 
21:34:58.576 WARN  ~~ LOOPS: 8. ENTITY #: 420//115. VIEW #: 3. BACKLOGGED :: 220.500%! ~~ 
21:34:58.588 WARN  Total activation time: 205 
21:34:58.588 WARN  Total collision time: 42 
21:34:58.589 WARN  Total cycle time: 341 
21:34:58.590 WARN  Total player update time: 224 
